service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
112,0,0,0,0,1,0,0,20200204,20200807
70,0,0,0,0,1,0,0,20200204,20200806
147,1,0,0,0,0,0,0,20200204,20200807
228,1,1,1,1,1,0,0,20200208,20200807
110,0,0,0,0,0,1,0,20200204,20200807
92,0,0,0,0,0,0,1,20200204,20200807
119,0,0,0,1,0,0,0,20200204,20200807
128,0,1,0,0,0,0,0,20200204,20200807
122,0,0,1,0,0,0,0,20200204,20200807
145,1,0,0,0,0,0,0,20200204,20200807
90,0,0,0,0,0,0,1,20200204,20200807
94,0,0,0,0,0,1,0,20200204,20200807
109,0,0,0,0,0,1,0,20200204,20200807
187,0,1,0,0,0,0,0,20200205,20200807
237,0,1,1,1,1,1,0,20200209,20200807
115,0,0,0,0,1,0,0,20200204,20200807
98,0,0,0,0,0,1,0,20200204,20200807
83,0,0,0,0,0,0,1,20200204,20200807
159,1,1,1,1,0,0,0,20200204,20200807
106,0,0,0,0,0,1,0,20200204,20200807
85,0,0,0,0,0,0,1,20200204,20200807
144,1,0,0,0,0,0,0,20200204,20200807
196,0,1,1,1,1,0,0,20200205,20200807
194,0,1,1,1,1,0,0,20200205,20200807
113,0,0,0,0,1,0,0,20200204,20200807
156,1,1,1,1,0,0,0,20200204,20200807
95,0,0,0,0,0,1,0,20200204,20200807
77,0,0,0,0,0,0,1,20200204,20200807
104,0,0,0,0,0,1,0,20200204,20200807
80,0,0,0,0,0,0,1,20200204,20200807
141,1,0,0,0,0,0,0,20200204,20200807
161,1,1,1,1,0,0,0,20200204,20200807
117,0,0,0,0,1,0,0,20200204,20200807
108,0,0,0,0,0,1,0,20200204,20200807
197,0,1,1,1,1,0,0,20200205,20200807
148,1,0,0,0,0,0,0,20200204,20200807
291,0,0,0,0,0,1,0,20200221,20200224
290,0,0,0,0,0,0,1,20200221,20200224
294,1,0,0,0,0,0,0,20200221,20200224
292,0,0,0,0,1,0,0,20200221,20200224
293,0,0,0,0,1,1,0,20200221,20200224
160,1,1,1,1,0,0,0,20200204,20200807
