service_id,date,exception_type
112,20200207,2
70,20200731,2
147,20200727,2
228,20200210,2
119,20200730,2
128,20200728,2
122,20200729,2
94,20200208,2
109,20200801,2
187,20200728,2
237,20200211,2
145,20200414,1
90,20200411,1
106,20200411,2
85,20200222,2
144,20200222,2
196,20200414,2
115,20200221,2
98,20200221,2
83,20200221,2
159,20200221,2
194,20200414,2
104,20200411,2
80,20200215,2
141,20200215,2
113,20200214,2
156,20200214,2
95,20200214,2
77,20200214,2
108,20200411,2
197,20200414,2
160,20200727,2
183,20200728,2
199,20200411,2
75,20200209,2
137,20200209,2
163,20200208,2
99,20200222,2
139,20200210,2
223,20200211,2
133,20200728,2
67,20200727,2
184,20200728,2
76,20200209,2
200,20200411,2
138,20200209,2
101,20200320,2
62,20200411,2
182,20200414,2
64,20200414,1
60,20200411,1
379,20200526,2
380,20200526,1
204,20200411,2
244,20200411,2
248,20200414,2
246,20200414,1
242,20200411,1
206,20200210,2
132,20200218,2
125,20200219,2
323,20200306,2
318,20200731,2
331,20200302,2
329,20200727,2
333,20200307,2
337,20200303,2
336,20200801,2
317,20200728,2
327,20200414,1
320,20200411,1
186,20200414,2
281,20200221,2
274,20200731,2
306,20200224,2
284,20200727,2
277,20200222,2
279,20200801,2
308,20200225,2
287,20200728,2
282,20200414,1
275,20200411,1
214,20200727,2
233,20200728,2
225,20200414,1
219,20200411,1
218,20200208,1
74,20200209,2
193,20200414,2
107,20200411,2
136,20200209,2
155,20200208,2
114,20200215,2
89,20200321,2
222,20200214,2
216,20200731,2
227,20200727,2
234,20200215,2
236,20200801,2
215,20200728,2
307,20200411,2
303,20200414,2
304,20200414,1
300,20200411,1
335,20200411,2
326,20200414,2
68,20200728,2
191,20200414,2
189,20200414,2
238,20200411,2
346,20200411,2
344,20200414,1
341,20200411,1
338,20200411,2
88,20200315,2
203,20200411,2
166,20200301,2
100,20200314,2
87,20200301,2
278,20200411,2
288,20200414,2
142,20200216,2
82,20200216,2
105,20200411,2
195,20200414,2
6,20200215,2
157,20200215,2
96,20200215,2
79,20200215,2
86,20200223,2
202,20200411,2
127,20200411,2
185,20200414,2
143,20200217,2
164,20200216,2
84,20200222,2
97,20200216,2
158,20200216,2
116,20200222,2
154,20200222,2
118,20200216,2
149,20200222,2
130,20200216,2
152,20200222,2
121,20200216,2
309,20200411,2
18,20200208,2
135,20200209,2
73,20200209,2
198,20200411,2
93,20200208,2
72,20200208,2
265,20200727,2
273,20200218,2
266,20200728,2
268,20200411,1
81,20200215,2
201,20200411,2
78,20200214,2
165,20200222,2
102,20200320,2
103,20200411,2
192,20200414,2
146,20200414,1
71,20200204,2
17,20200208,2
51,20200204,2
178,20200204,2
49,20200204,2
54,20200204,2
334,20200411,2
325,20200414,2
328,20200414,1
319,20200229,2
69,20200729,2
299,20200222,1
32,20200204,2
172,20200204,2
30,20200204,2
34,20200204,2
270,20200411,2
272,20200414,2
283,20200414,1
267,20200217,2
140,20200210,2
47,20200204,2
177,20200204,2
46,20200204,2
48,20200204,2
190,20200411,2
188,20200411,2
91,20200411,1
312,20200411,2
313,20200414,1
19,20200411,2
205,20200509,1
235,20200411,2
224,20200414,2
226,20200414,1
217,20200208,2
168,20181224,2
