route_id,agency_id,route_short_name,route_long_name,route_desc,route_type
5953y0552717,SK,53,Orchard Road / Griffin Road - Lower Marsh,Plumstead Station - Woolwich - Blackheath - New Cross - Elephant & Castle - Lambeth North,3
1NTNy051325802,LUL,,Morden - High Barnet,Morden -  Bank/Charing Cross - Camden Town - Edgware/High Barnet/Mill Hill East,1
1PICy05580834,LUL,,Heathrow Terminal 5 - Cockfosters,Heathrow Airport/Uxbridge - Hammersmith - Cockfosters,1
1CENy05700825,LUL,,West Ruislip - Epping,Ealing Broadway/West Ruislip - Liverpool Street - Epping/Hainault/Woodford,1
1NTNy05486215,LUL,,Morden - High Barnet,Morden - Charing Cross - Camden Town - Edgware/High Barnet/Mill Hill East,1
6086y0553410,IF,86,Stratford Bus Station - Romford Station,Stratford - Forest Gate - Manor Park - Ilford - Seven Kings - Chadwell Heath - Romford Station,3
49111y0552616,LU,111,Heathrow Central Bus Station - Cromwell Road Bus Station,Heathrow Central - Cranford - Heston - Hounslow - Hanworth - Hampton - Kingston,3
6055y0553496,IF,55,Walthamstow Bus Station - Great Titchfield Street / Oxford Circus Station,Walthamstow - Leyton  Bakers Arms - Lea Bridge Road - Clapton - Hackney - Shoreditch - Clerkenwell - Holborn - Oxford Circus,3
1DISy051500122,LUL,,Ealing Broadway - Upminster Station,Ealing Broadway/Richmond/Wimbledon - Earl's Court - Upminster/Edgware Road,1
4857y0552818,LG,57,Fairfield Bus Station - Atkins Road / New Park Road,Kingston - Wimbledon - Clapham Park,3
49220y0553208,LU,220,Willesden Junction Station - Mapleton Crescent,Willesden Junction - Hammersmith - Putney Bridge - Wandsworth,3
8229y0553853,MN,229,Thamesmead Town Centre - Queen Mary's Hospital / Chislehurst Road,Thamesmead - Abbey Wood - Belvedere - Erith - Barnehurst - Bexleyheath - Bexley - Sidcup - Queen Mary's Hospital,3
4970y0551171,LU,70,Chiswick Business Park - Queensberry Place,Chiswick  Business Park - Acton - East Acton - Ladbroke Grove - Queensway - Notting Hill Gate - South Kensington,3
51358y0551147,ME,358,Orpington Bus Station - Crystal Palace Parade,Orpington - Farnborough - Bromley - Shortlands - Beckenham - Penge - Crystal Palace,3
1JUBy05150811,LUL,,Stanmore Station - Stratford Station,Stanmore - Waterloo - Stratford,1
1PICy05246201,LUL,,Heathrow Terminal 5 - Cockfosters,Heathrow Airport/Rayners Lane - Acton Town // Hyde Park Corner - Cockfosters,1
60174y0553790,IF,174,Dagnam Park Square - C E M E,Harold Hill  Dagnam Park Square - Gallows Corner - Romford Station - Dagenham Heathway - Dagenham  Marsh Way,3
1DISy05226212,LUL,,Ealing Broadway - Upminster Station,Ealing Broadway - Acton Town // South Kensington - Upminster,1
4965y0553730,LU,65,Brook Street (KT1) - Ealing Broadway,Kingston - Richmond - Kew Bridge - Brentford - South Ealing - Ealing Broadway,3
1CIRy05350166,LUL,Circle,Barking Station - Barking Station,Hammersmith - King's Cross St. Pancras - Victoria - Edgware Road,1
45188y0553527,LC,188,North Greenwich Station - Russell Square,North Greenwich - Greenwich - Surrey Quays - Bermondsey - Tower Bridge Road - Elephant & Castle - Waterloo - Russell Square,3
8243y0552655,MN,243,Redvers Road - Waterloo Station/Mepham Street,Wood Green - Tottenham - Waterloo,3
6062y0551660,IF,62,Marks Gate Billet Road - Gascoigne Estate,Marks Gate - Chadwell Heath - Becontree - Barking - Barking  Gascoigne Estate,3
61183y0553610,SV,183,Golders Green - Pinner,Golders Green - Hendon - Kingsbury - Kenton - Harrow - North Harrow - Pinner,3
1CIRy059185821,LUL,Circle,Barking Station - Barking Station,Hammersmith - King's Cross St. Pancras - Victoria - Edgware Road,1
8102y0550959,MN,102,Edmonton Green Bus Station - Brent Cross Shopping Centre,Edmonton Green - Muswell Hill - Golders Green - Brent Cross,3
59177y0551515,SK,177,Thamesmead Town Centre - Peckham Bus Station,Thamesmead - Greenwich - Peckham,3
48493y0553217,LG,493,St George's / Univ of London - Richmond / Manor Road,Tooting - Putney - Richmond,3
59122y0549361,SK,122,Plumstead Road / Plumstead Station - Crystal Palace Parade,Plumstead - Lewisham - Forest Hill - Sydenham - Crystal Palace,3
45176y0553525,LC,176,Penge / Pawleyne Arms - Tottenham Court Road / Great Russell Street,Penge - Sydenham - Forest Hill - Dulwich - Camberwell - Elephant & Castle - Waterloo - Trafalgar Square - Tottenham Court Road,3
4888y0552724,LG,88,Parliament Hill Fields - Omnibus Clapham,Parliament Hill Fields - Camden Town - Oxford Circus - Westminster - Vauxhall - Clapham Common,3
6425y0554001,TN,25,Holborn Circus - Hainault Street,City Thameslink - Bank - Aldgate - Whitechapel - Bow - Stratford - Forest Gate - Manor Park - Ilford,3
4551y0553027,LC,51,Woolwich High Street - Orpington,Woolwich - Sidcup - Orpington,3
6025y0551952,IF,25,Holborn Circus - Hainault Street,City Thameslink - Aldgate - Whitechapel - Mile End - Bow - Stratford - Forest Gate - Manor Park - Ilford,3
8121y0552950,MN,121,Enfield Island Village - Turnpike Lane,Enfield Lock  Island Village - Southgate - Turnpike Lane Station,3
45321y0551791,LC,321,Foots Cray Tesco - New Cross Gate Sainsbury's,Foots Cray - Eltham - Lewisham - New Cross Gate,3
