stop_id,stop_code,stop_name,stop_lon,stop_lat
490010619J,58271,Orchard Road  Griffin Road, 0.085790,51.48898
490005565S,50068,Conway Road, 0.084673,51.48723
490004305S,51588,Griffin Road  Brewery Road, 0.083839,51.48538
490007326S,55941,Heavitree Road, 0.083059,51.48344
490011067S2,76393,Warwick TerracePlumstead C Rd, 0.084738,51.48077
490011072W,75660,Plumstead Common Road, 0.084134,51.48017
490011073W,50647,Plumstead Common  The Ship, 0.081174,51.48062
490008853W,49133,Kirk Lane, 0.075756,51.48120
490013801W,50402,Trinity Church, 0.073727,51.48155
490008079W,76598,Herbert Road (SE18), 0.070739,51.48204
490007000N,51069,Frederick Place, 0.068521,51.48524
490005742E,50878,Crescent Road (SE18), 0.073150,51.48788
490004624N1,72743,Burrage Road, 0.072747,51.49043
490014934W,53749,Plumstead Road  Woolwich Mkt, 0.070722,51.49119
490001344H,51623,Woolwich Arsenal Station, 0.068962,51.49020
490014935S,59232,The Woolwich Centre, 0.065445,51.48952
490008574X,76115,Artillery Place J ohn Wilson St, 0.061453,51.48787
490006981W,72223,Artillery Place  Frances Street, 0.057658,51.48740
490006632W,54204,Erwood Road, 0.049532,51.48512
490004916W,74867,Cemetery Lane, 0.046740,51.48291
490005013Q,51122,Charlton Park Road, 0.039843,51.48198
490005007P,58193,Charlton House, 0.035875,51.48086
490014075W,56379,Charlton Road  Victoria Way, 0.030905,51.47952
490014978W1,55413,Wyndcliff Road, 0.025672,51.47942
490015264W1,50206,Blackheath  Royal Standard, 0.020412,51.47771
490004065BK,52570,Vanburgh Park Stratheden Road, 0.018233,51.47695
490003708W1,76535,Vanbrugh Pk  Beaconsfield Rd, 0.013857,51.47666
490009755Q,76438,Maze Hill, 0.010109,51.47461
490007512T,49120,Greenwich Park, 0.003595,51.47219
490014311W,74641,Wat Tyler Road,-0.007333,51.47255
490009115W,73158,Lewisham Road,-0.013859,51.47249
490006455N,58917,Egerton Drive,-0.018236,51.47316
490002029T,49816,Deptford Bridge,-0.023193,51.47442
490006879F,73113,Florence Road (SE14),-0.028399,51.47524
490000155W,53692,New Cross Station,-0.031216,51.47568
490007276X,49611,Marquis of Granby  Goldsmiths,-0.036010,51.47540
490000156O,52566,New Cross Gate Station,-0.039648,51.47484
490010204J,52466,New Cross Bus Garage,-0.044561,51.47410
490010206C,73674,New Cross Road  Besson Street,-0.047513,51.47579
490003246D,54066,Briant Street,-0.050179,51.47677
490011089W,56838,Pomeroy Street New Cross,-0.052126,51.47771
490008461WA,77183,Old Kent Road  Ilderton Road,-0.056026,51.47913
490005526WB,48780,Commercial Way Peckham,-0.058985,51.48033
490010880WE,77065,Peckham Park Road,-0.063579,51.48271
490009531W,55875,Malt Street,-0.070233,51.48542
490013761W,50378,Trafalgar Avenue,-0.073252,51.48625
490006266WN,57457,Dunton Road,-0.077547,51.48859
490006379BN,77701,Old Kent Road  East Street,-0.082295,51.49146
490004315BQ,52506,Bricklayer's Arms,-0.085230,51.49362
490003658BS,48216,Bricklayers Arms  New Kent Rd,-0.090240,51.49403
490011632BT,49564,Rodney Place,-0.094672,51.49417
490000073M,53709,Elephant & Castle New Kent Rd,-0.098060,51.49480
490009270Z,71105,London College of Comm,-0.102060,51.49525
490008473N,48161,St Georges RdImperial War Mus,-0.105900,51.49646
490000132B,76913,Lambeth North,-0.111821,51.49856
490009420W,74644,Lower Marsh,-0.113774,51.49940
490009420E,56455,Lower Marsh,-0.114680,51.50014
490000132C,47604,Lambeth North,-0.111145,51.49853
490012693D,49679,St George's Circus,-0.108173,51.49862
490009281E,56108,Elephant & Castle  London Rd,-0.101333,51.49610
490000073J,47096,Elephant & Castle New Kent Rd,-0.097812,51.49486
490011632BA,74809,Rodney Place,-0.094439,51.49422
490006379BL,75987,Old Kent Road  East Street,-0.081863,51.49146
490006266EC,72792,Dunton Road,-0.077348,51.48886
490013761EE,54993,Trafalgar Avenue,-0.072795,51.48651
490009531E,71447,Malt Street,-0.069630,51.48539
490010880EN,51530,Peckham Park Road,-0.064138,51.48312
490005526EP,76792,Commercial Way Peckham,-0.060761,51.48124
490008461ER,48435,Old Kent Road  Ilderton Road,-0.056001,51.47936
490003246Z,NA,Briant Street,-0.049500,51.47682
490010204G,47366,New Cross Bus Garage,-0.044745,51.47452
490000156R,54526,New Cross Gate Station,-0.039687,51.47528
490009689S,74439,Marquis Of Granby,-0.034607,51.47586
490000155V,53490,New Cross Station,-0.031353,51.47586
490006051E,77025,Deptford High St New Cross Rd,-0.027365,51.47517
490002029W,57575,Deptford Bridge,-0.022313,51.47446
490006455E,52492,Egerton Drive,-0.017242,51.47316
490009115E,57375,Lewisham Road,-0.014175,51.47283
490014311E,55640,Wat Tyler Road,-0.007522,51.47285
490007512S,73645,Greenwich Park, 0.003081,51.47295
490009758R,54791,Charlton Way  Maze Hill, 0.008644,51.47469
490003708E1,48799,Vanbrugh Pk  Beaconsfield Rd, 0.014467,51.47711
490004065BC,49750,Blackheath  Royal Standard, 0.021292,51.47839
490014978E1,53318,Wyndcliff Road, 0.027059,51.47952
490014075E,47142,Charlton Road  Victoria Way, 0.032963,51.47981
490005015R,57342,Charlton Village, 0.038078,51.48214
490005013E,56405,Charlton Park Road, 0.041228,51.48204
490004916E,76000,Cemetery Lane, 0.046031,51.48251
490006632N,57152,Erwood Road, 0.049584,51.48531
490006981E,77476,Artillery Place  Frances Street, 0.057401,51.48746
490008574P,77568,The Woolwich Centre, 0.064350,51.48918
490001344S,53700,Woolwich Arsenal Station, 0.067342,51.48973
490001344G,73034,Vincent Road Woolwich Arsenal, 0.069131,51.48978
490005742S,74749,Burrage Road  Arthur Grove, 0.073427,51.48858
490007000S,56960,Frederick Place, 0.071775,51.48488
490015577S,77647,Bloomfield Road  Plumstead Common Road, 0.071139,51.48228
490013801E,51076,Trinity Church, 0.072881,51.48196
490004098E,73010,Blendon Terrace, 0.077699,51.48116
490011073E1,74444,Plumstead Common  The Ship, 0.080727,51.48124
490007326N,57864,Heavitree Road, 0.082806,51.48358
490004305N,72906,Griffin Road  Brewery Road, 0.083952,51.48597
490005565N,55968,Conway Road, 0.084679,51.48768
490001227Q,55481,Griffin Rd  Plumstead Station, 0.085339,51.48922
9400ZZLUMDN2,NA,Morden Underground Station,-0.194828,51.40242
9400ZZLUSWN1,NA,South Wimbledon Underground Station,-0.192820,51.41508
9400ZZLUCSD1,NA,Colliers Wood Underground Station,-0.177577,51.41866
9400ZZLUTBY1,NA,Tooting Broadway Underground Station,-0.168178,51.42784
9400ZZLUTBC1,NA,Tooting Bec Underground Station,-0.159024,51.43586
9400ZZLUBLM1,NA,Balham Underground Station,-0.152265,51.44397
9400ZZLUCPS1,NA,Clapham South Underground Station,-0.147036,51.45335
9400ZZLUCPC1,NA,Clapham Common Underground Station,-0.136841,51.46229
9400ZZLUCPN1,NA,Clapham North Underground Station,-0.129359,51.46573
9400ZZLUSKW1,NA,Stockwell Underground Station,-0.122917,51.47183
9400ZZLUOVL1,NA,Oval Underground Station,-0.112623,51.48157
9400ZZLUKNG1,NA,Kennington Underground Station,-0.105699,51.48845
9400ZZLUEAC3,NA,Elephant & Castle Underground Station,-0.100512,51.49506
9400ZZLUBOR1,NA,Borough Underground Station,-0.093508,51.50099
9400ZZLULNB1,NA,London Bridge Underground Station,-0.088599,51.50572
9400ZZLUBNK4,NA,Bank Underground Station,-0.087847,51.51231
9400ZZLUMGT3,NA,Moorgate Underground Station,-0.087818,51.51887
9400ZZLUODS1,NA,Old Street Underground Station,-0.087547,51.52499
9400ZZLUAGL1,NA,Angel Underground Station,-0.105930,51.53186
9400ZZLUKSX4,NA,King's Cross St. Pancras Underground Station,-0.121991,51.53083
9400ZZLUEUS2,NA,Euston Underground Station,-0.131846,51.52782
9400ZZLUCTN1,NA,Camden Town Underground Station,-0.142465,51.53930
9400ZZLUKSH1,NA,Kentish Town Underground Station,-0.140702,51.55036
9400ZZLUTFP1,NA,Tufnell Park Underground Station,-0.138391,51.55680
9400ZZLUACY1,NA,Archway Underground Station,-0.134586,51.56518
9400ZZLUHGT1,NA,Highgate Underground Station,-0.145805,51.57776
9400ZZLUEFY1,NA,East Finchley Underground Station,-0.164963,51.58726
9400ZZLUFYC1,NA,Finchley Central Underground Station,-0.192770,51.60099
9400ZZLUWFN1,NA,West Finchley Underground Station,-0.188449,51.60941
9400ZZLUWOP1,NA,Woodside Park Underground Station,-0.185602,51.61778
9400ZZLUTAW1,NA,Totteridge & Whetstone Underground Station,-0.179226,51.63057
9400ZZLUHBT1,NA,High Barnet Underground Station,-0.194150,51.65061
9400ZZLUWLO3,NA,Waterloo Underground Station,-0.113574,51.50319
9400ZZLUEMB5,NA,Embankment Underground Station,-0.122542,51.50726
9400ZZLUCHX4,NA,Charing Cross Underground Station,-0.125691,51.50884
9400ZZLULSQ1,NA,Leicester Square Underground Station,-0.128618,51.51197
9400ZZLUTCR2,NA,Tottenham Court Road Underground Station,-0.130430,51.51594
9400ZZLUGDG1,NA,Goodge Street Underground Station,-0.134488,51.52067
9400ZZLUWRR1,NA,Warren Street Underground Station,-0.137784,51.52433
9400ZZLUEUS4,NA,Euston Underground Station,-0.134193,51.52824
9400ZZLUMTC1,NA,Mornington Crescent Underground Station,-0.138585,51.53439
9400ZZLUMHL1,NA,Mill Hill East Underground Station,-0.209843,51.60819
9400ZZLUCTN2,NA,Camden Town Underground Station,-0.142888,51.53919
9400ZZLUCFM1,NA,Chalk Farm Underground Station,-0.153529,51.54421
9400ZZLUBZP1,NA,Belsize Park Underground Station,-0.164766,51.55024
9400ZZLUHTD1,NA,Hampstead Underground Station,-0.178466,51.55644
9400ZZLUGGN1,NA,Golders Green Underground Station,-0.194075,51.57244
9400ZZLUBTX1,NA,Brent Cross Underground Station,-0.213621,51.57670
9400ZZLUHCL1,NA,Hendon Central Underground Station,-0.226455,51.58326
9400ZZLUCND1,NA,Colindale Underground Station,-0.250089,51.59551
9400ZZLUBTK1,NA,Burnt Oak Underground Station,-0.264131,51.60287
9400ZZLUEGW1,NA,Edgware Underground Station,-0.275004,51.61354
