Station,Latitude,Longitude,Zone,Postcode
Abbey Road,51.531952,0.003723,3,E15 3NB
Abbey Wood,51.490784,0.120272,4,SE2 9RH
Acton Central,51.508758,-0.26343,2,W3 6BH
Acton Main Line,51.516887,-0.26769,3,W3 9EH
Acton Town,51.503071,-0.280303,3,W3 8HN
Albany Park,51.435816,0.126445,5,DA5 3HP
Aldgate,51.514342,-0.075627,1,EC3N 1AH
Aldgate East,51.515082,-0.073001,1,E1 7PT
Alexandra Palace,51.598263,-0.120149,3,N22 7ST
All Saints,51.510477,-0.012625,2,E14 0EH
Alperton,51.541209,-0.299516,4,HA0 4LL
Amersham,51.674129,-0.606514,9,HP6 5AZ
Anerley,51.412517,-0.065137,4,SE20 8PY
Angel,51.532968,-0.105581,1,N1 8XB
Angel Road,51.61242,-0.048733,4,N18 3AY
Archway,51.565491,-0.135122,2,N19 5RQ
Arnos Grove,51.61623,-0.13427,4,N11 1AN
Arsenal,51.558541,-0.1055,2,N5 1LP
Baker Street,51.52313,-0.156904,1,NW1 5LA
Balham LU,51.443183,-0.152685,3,SW12 9SG
Balham NR,51.443183,-0.152685,3,SW12 9SG
Bank and Monument,51.513347,-0.089,1,EC3V 3LA
Banstead,51.329293,-0.213132,6,SM7 1RB
Barbican,51.520215,-0.097722,1,EC1A 4JA
Barking,51.539521,0.080832,4,IG11 8TU
Barkingside,51.585851,0.088477,4,IG6 1NB
Barnehurst,51.46478,0.160948,6,DA7 6HQ
Barnes,51.467128,-0.242033,3,SW13 0LW
Barnes Bridge,51.472228,-0.252363,3,SW13 0NR
Barons Court,51.490229,-0.21343,2,W14 9DP
Battersea Park,51.477318,-0.148124,2,SW8 4NB
Bayswater,51.512111,-0.187902,1,W2 4QH
Beckenham Hill,51.424626,-0.016496,4,SE6 3NU
Beckenham Junction,51.410942,-0.025702,4,BR3 1HY
Beckton,51.514377,0.061525,3,E6 5NT
Beckton Park,51.508901,0.054822,3,E6 5NE
Becontree,51.539585,0.12688,5,RM9 4TP
Bellingham,51.433865,-0.020412,3,SE6 3BT
Belmont,51.34412,-0.199489,5,SM2 6BH
Belsize Park,51.550191,-0.163974,2,NW3 2AL
Belvedere,51.491959,0.152034,5,DA17 6JW
Bermondsey,51.497961,-0.06433,2,SE16 4RX
Berrylands,51.398768,-0.280321,5,KT5 8LT
Bethnal Green LO,51.527192,-0.055392,2,E2 0ET
Bethnal Green LU,51.524283,-0.060014,2,E2 6JL
Bexley,51.440815,0.148204,6,DA5 1AQ
Bexleyheath,51.46355,0.133363,5,DA7 4AA
Bickley,51.40038,0.044304,5,BR1 2EB
Birkbeck,51.403863,-0.056286,4,BR3 4TA
Blackfriars LU,51.511587,-0.102995,1,EC4V 4DD
Blackfriars NR,51.511587,-0.102995,1,EC4V 4DD
Blackheath,51.465408,0.008337,3,SE3 9LE
Blackhorse Road,51.585777,-0.039626,3,E17 6JJ
Blackwall,51.507832,-0.007235,2,E14 9QB
Bond Street,51.513798,-0.149614,1,W1C 2HU
Borough,51.501049,-0.094197,1,SE1 1JX
Boston Manor,51.495766,-0.324747,4,TW8 9LQ
Bounds Green,51.607032,-0.124177,3,N11 2EU
Bow Church,51.527615,-0.0205,2,E3 3AA
Bow Road,51.527042,-0.02436,2,E3 4DH
Bowes Park,51.60725,-0.119792,3,N22 8NL
Brent Cross,51.576599,-0.213336,3,NW11 9UA
Brentford,51.487536,-0.309623,4,TW8 9LF
Brentwood,51.61361,0.299673,7,CM14 4EW
Brimsdown,51.655245,-0.031092,5,EN3 7NA
Brixton LU,51.462737,-0.114552,2,SW9 8HE
Brixton NR,51.462737,-0.114552,2,SW9 8HE
Brockley,51.46475,-0.037748,2,SE4 2RW
Bromley North,51.408942,0.017235,4,BR1 3NN
Bromley South,51.400001,0.01736,5,BR1 1LX
Bromley-by-Bow,51.52484,-0.011682,2,E3 3BT
Brondesbury,51.545262,-0.202838,2,NW6 7QL
Brondesbury Park,51.540325,-0.210474,2,NW6 6RP
Broxbourne,51.747016,-0.011024,9,EN10 7AW
Bruce Grove,51.594011,-0.070399,3,N17 8AD
Buckhurst Hill,51.626577,0.046713,5,IG9 5ET
Burnt Oak,51.602552,-0.264331,4,HA8 0LA
Bush Hill Park,51.641482,-0.06928,5,EN1 1BA
Bushey,51.645544,-0.384722,8,WD19 4ST
Caledonian Road,51.547885,-0.118361,2,N7 9BA
Caledonian Road & Barnsbury,51.543285,-0.115205,2,N1 0SL
Cambridge Heath,51.53206,-0.057203,2,E2 7NA
Camden Road,51.541851,-0.139203,2,NW1 9LQ
Camden Town,51.539969,-0.142452,2,NW1 8NH
Canada Water,51.498168,-0.050807,2,SE16 7BB
Canary Wharf DLR,51.503578,-0.019467,2,E14 4QS
Canary Wharf LU,51.503578,-0.019467,2,E14 4QS
Canning Town,51.51387,0.008306,3,E16 1DQ
Cannon Street LU,51.511362,-0.090251,1,EC4N 6AP
Cannon Street NR,51.511362,-0.090251,1,EC4N 6AP
Canonbury,51.548188,-0.092574,2,N1 2PG
Canons Park,51.607651,-0.294392,5,HA8 6RN
Carpenders Park,51.628187,-0.385829,7,WD19 7DT
